AFG,Asia
ALB,Europe
ALG,Africa
ANG,Africa
ARG,Americas
ARM,Asia
AUL,Oceania
AUS,Europe
AZE,Asia
BAH,Asia
BEL,Europe
BEN,Africa
BHU,Asia
BLR,Europe
BNG,Asia
BOS,Europe
BOT,Africa
BRA,Americas
BUI,Africa
BUL,Europe
CAM,Asia
CAN,Americas
CAO,Africa
CDI,Africa
CEN,Africa
CHA,Africa
CHL,Americas
CHN,Asia
COL,Americas
CON,Africa
COS,Americas
CRO,Europe
CUB,Americas
CYP,Asia
CZR,Europe
DEN,Europe
DJI,Africa
DOM,Americas
DRC,Africa
DRV,Asia
ECU,Americas
EGY,Africa
EQG,Africa
ERI,Africa
EST,Europe
ETH,Africa
FIN,Europe
FRN,Europe
GHA,Africa
GMY,Europe
GRC,Europe
GRG,Asia
GUI,Africa
GUY,Americas
HAI,Americas
HON,Americas
HUN,Europe
ICE,Europe
IND,Asia
INS,Asia
IRE,Europe
IRN,Asia
IRQ,Asia
ISR,Asia
ITA,Europe
JAM,Americas
JOR,Asia
JPN,Asia
KEN,Africa
KOS,Europe
KUW,Asia
KYR,Asia
KZK,Asia
LAT,Europe
LBR,Africa
LEB,Asia
LIB,Africa
LIT,Europe
LUX,Europe
MAA,Africa
MAC,Europe
MAL,Asia
MLD,Europe
MLI,Africa
MNG,Europe
MOR,Africa
MYA,Asia
NAM,Africa
NEP,Asia
NIC,Americas
NIG,Africa
NIR,Africa
NOR,Europe
NTH,Europe
OMA,Asia
PAK,Asia
PAL,Oceania
PER,Americas
PHI,Asia
PNG,Oceania
POL,Europe
POR,Europe
PRK,Asia
QAT,Asia
ROK,Asia
ROM,Europe
RUM,Europe
RUS,Europe
RWA,Africa
SAL,Americas
SAU,Asia
SIE,Africa
SIN,Asia
SLO,Europe
SLV,Europe
SOL,Oceania
SOM,Africa
SPN,Europe
SRI,Asia
SUD,Africa
SUR,Americas
SWD,Europe
SWZ,Europe
SYR,Asia
TAJ,Asia
TAW,Asia
TAZ,Africa
THI,Asia
TKM,Asia
TOG,Africa
TRI,Americas
TUN,Africa
TUR,Asia
UAE,Asia
UGA,Africa
UKG,Europe
UKR,Europe
USA,Americas
UZB,Asia
VEN,Americas
VTM,Asia
YEM,Asia
YUG,Europe
ZAM,Africa
ZIM,Africa
